的	白勹丶
是	旦龰
了	了
在	丨土
和	禾口
我	丿扌戈
有	月
不	不
一	一
就	小尢丶
中	中
人	人
也	也
很	彳彐
你	亻⺈小
都	耂日阝
上	上
会	人云
为	丶丶
这	亠乂辶
好	女子
到	一厶土刂
对	又寸
大	大
他	亻也
等	土寸
要	覀女
多	夕夕
还	不辶
年	ヰ
说	讠丷口儿
去	土厶
来	未丷
与	二乙
能	厶月匕匕
后	𠂋
被	衤皮
时	日寸
以	乙丶人
更	一日乂
将	丬夕寸
但	亻旦
小	小
而	而
看	龵目
个	人丨
用	用
过	寸辶
最	日耳又
吃	口乙
让	讠上
并	丷开
日	日
可	丁口
下	下
做	亻古攵
于	于
从	人人
没	氵几又
新	亲斤
里	日土
给	纟亼口
着	目
高	高
家	宀豕
想	木目心
地	土也
点	⺊口灬
出	屮凵
或	戈口一
她	女也
之	之
太	大丶
本	本
得	彳旦寸
其	其
把	扌巴
第	弓丨丿
又	又
比	匕匕
再	一冂土
前	丷一月刂
买	乙头
那	阝
如	女口
该	讠亥
啊	口阝丁口
吧	口巴
书	书
成	戊乙
所	戶斤
元	二儿
们	亻门
才	丿
及	乃丶
内	冂人
请	讠龶月
者	耂日
只	口八
月	月
长	丿一乙丶
三	三
性	忄生
它	宀匕
吗	口马
开	开
由	由
国	囗王丶
发	发
学	⺍冖子
车	车
分	八刀
市	亠巾
生	生
呢	口尸匕
当	彐
店	广⺊口
已	已
至	一厶土
行	彳亍
自	自
您	亻⺈小心
加	力口
区	匚乂
水	水
全	人王
爱	爫冖又
天	天
张	弓丿一丶
美	⺷大
向	口
名	夕口
打	扌丁
起	走己
跟	彐
金	金
部	立口阝
无	无
万	万
带	艹丨冖巾
路	夂口
因	囗大
王	王
事	事
二	二
子	子
像	亻⺈口
面	丆囬
化	亻
位	亻立
先	⺧儿
此	止匕
每	母
图	囗夂⺀
方	方
经	纟ス工
走	走
同	冂一口
却	土厶卩
老	耂匕
业	业
进	井辶
挺	扌丿士廴
放	方攵
则	贝刂
菜	艹爫木
网	冂乂乂
两	两
少	少
公	八厶
法	氵土厶
总	丷口心
作	亻丨二
类	米大
心	心
场	土乙丿丿
真	十八
县	且厶
使	亻吏
问	门口
号	口一乙
线	纟戋
科	禾⺀十
现	王冂儿
应	广
道	首辶
期	其月
文	亠乂
站	立⺊口
入	丿丶
次	冫欠
找	扌戈
主	丶王
度	广廿又
斯	其斤
快	忄人
机	木几
手	手
写	冖二乙
型	开刂土
外	夕卜
正	一止
李	木子
式	弋工
各	夂口
女	女
量	旦日土
特	牜土寸
德	彳十罒心
西	西
卡	上卜
强	弓口虫
四	四
低	亻氏丶
钱	钅戋
利	禾刂
动	云力
马	马
完	宀二儿
原	厂白小
处	夂卜
东	小
非	非
回	回
数	米女攵
股	月几又
达	大辶
花	艹亻
受	爫冖又
间	门日
力	力
提	扌旦龰
某	甘木
基	其土
山	山
平	干丷
拉	扌立
玩	王二儿
安	宀女
称	禾⺈小
拿	亼口手
值	亻十
未	未
工	工
种	禾中
越	走戉
省	少目
信	亻言
定	宀一龰
海	氵母
通	龴用辶
十	十
尔	⺈小
话	讠舌
据	扌尸古
米	米
明	日月
超	走刀口
算	目廾
体	亻本
听	口斤
克	古儿
林	木木
理	王日土
岁	山夕
款	士示欠
关	丷天
指	扌匕日
管	宀㠯
电	电
选	⺧儿辶
条	夂朩
五	五
南	十冂丷干
合	亼口
率	亠幺十
别	口力刂
按	扌宀女
报	扌卩又
近	斤辶
台	厶口
刚	冂乂刂
实	宀头
城	土戊乙
版	片⺁又
读	讠头
曾	丷日
变	亦又
集	隹木
叫	口丩
周	⺆土口
约	纟勹丶
陈	阝小
么	丿厶
谁	讠隹
油	氵由
资	冫欠贝
感	戌口心
华	亻十
村	木寸
门	门
份	亻八刀
贵	贝
表	龶
组	纟且
即	彐卩
价	亻人
建	彐二丨廴
差	工
制	牛冂刂
需	⻗而
白	白
罗	罒夕
连	车辶
项	工页
单	丷
些	止匕二
相	木目
头	头
送	丷天辶
红	纟工
干	干
级	纟乃丶
帮	三丿阝巾
黄	龷由八
品	品
见	冂儿
鱼	鱼
北	丬匕
转	车二乙丶
考	耂一乙
布	巾
喝	口日勹乙
题	旦龰页
字	宀子
产	立丿
常	尚巾
收	丩攵
队	阝人
阿	阝丁口
双	又又
刘	亠乂刂
口	口
格	木夂口
包	勹巳
黑	黑
记	讠己
啦	口扌立
住	亻丶王
较	车六乂
风	几乂
知	矢口
哦	口丿扌戈
穿	穴牙
男	田力
卖	头
清	氵龶月
交	六乂
讲	讠井
肉	肉
光	⺎
保	亻口木
改	己攵
任	亻丿士
活	氵舌
香	禾日
房	户方
死	歹匕
投	扌几又
司	乙一口
费	弓贝
且	且
教	耂子攵
亚	亚
热	扌九丶灬
换	扌⺈冂大
深	氵冖八木
汤	氵乙丿丿
球	王求
赛	宀八贝
师	一巾
然	犬灬
局	尸乙口
坐	人人土
哪	口阝
龙	龙
情	忄龶月
接	扌立女
首	首
员	口贝
神	礻申
商	亠丷冂口
目	目
易	日勿
难	又隹
段	几又
句	句
云	云
样	木羊
仅	亻又
均	土勹冫
共	龷八
片	片
物	牜勿
果	日木
创	人㔾刂
宝	宀王丶
远	二儿辶
民	民
设	讠几又
今	亽乙
求	求
微	彳山一攵
副	一口田刂
满	氵艹两
配	西一己
展	尸龷
拍	扌白
岛	山
代	亻弋
装	丬士衣
古	古
意	立日心
军	冖车
游	氵方子
气	气
便	亻一日乂
属	尸丿口⽱
重	千日二
维	纟隹
器	吅犬吅
层	尸云
增	土丷日
流	氵
石	石
镇	钅十八
早	早
盘	舟皿
立	立
推	扌隹
蛮	亦虫
传	亻二乙丶
纳	纟冂人
几	几
办	力八
座	广人人土
计	讠十
证	讠一止
件	亻牛
直	十
调	讠⺆土口
巴	巴
另	口力
试	讠弋工
篇	户冂艹
占	⺊口
联	耳丷天
亿	亻乙
身	身
节	艹卩
空	穴工
饭	饣⺁又
味	口未
奖	丬夕大
星	日生
反	⺁又
州	⺍川
久	丶
极	木乃丶
排	扌非
儿	儿
河	氵丁口
食	食
整	木口攵止
银	钅彐
乐	小
火	火
色	⺈巴
杨	木乙丿丿
跑	勹巳
注	氵丶王
战	⺊口戈
何	亻丁口
解	⺈用刀牛
病	疒一冂人
务	夂力
靠	⺧口非
掉	扌⺊早
晚	日免
团	囗丿
广	广
田	田
波	氵皮
牛	牛
六	六
半	丷二丨
英	艹冂大
茶	艹人朩
哈	口亼口
根	木彐
兰	丷三
史	史
歌	丁口丁欠
酒	氵西一
皮	皮
边	力辶
群	彐丿口羊
离	㐫禸
赞	⺧儿⺧贝
查	木旦
伊	亻彐丿
懂	忄艹千二
博	十甫寸
画	一田凵
运	云辶
持	扌土寸
留	丶刀田
支	十又
社	礻土
粉	米八刀
往	彳丶王
供	亻龷八
